ques,label
最美 逆 行者 致敬 英雄 抗疫剧 最美 逆 行者,1
疫情 时期 坚守 疫情 早日 式,1
内敛,1
感恩 愿意 付出 心 理由 不去 支持 心 心 心,1
钱不花 涨,-1
肖战 演技 融入 角色 展现 作品 带入 感 太强了 灵魂 之作 玖 少年 团肖战,1
一件 事 善始善终 没有,-1
钱 不是 理由 住 完,-1
热脸 贴个 冷 屁股,-1
吴京 问号 脸 贱 贱 热脸 贴 冷 屁股,-1
名胜 世界 志愿者 真的 太棒了 加油,1
听 说 谢谢 抱 一抱 爱 虎爪 比心 送 花花 中国 春游 家族 鲜花 心,1
大庆 联通 快速 完成 首家 方舱医院 网建,1
荒蕪 小五 表态 小心 心 小心 心 小心 心 爱 爱,1
没有 预防 作用 核酸 查出 感染 拉 医院 方舱 家里 囤 做 核酸 症状 自觉 感染 用得上 以岭 连花 好价,-1
棒 海胆 君 靳东 演 方舱医院 钟老 看过 爱,1
发文 说 国外 疫苗 强 喵 喵,1
当初 医护 罢医 组织,-1
制杖 东西 万 确诊 花钱 躺平 确诊 几千万 亿 不是 要花 钱 做 论据,-1
包吃包住 日薪 近日 上海 奉贤 急于 求职 包 微信群 得知 方舱医院 招工 包吃包住 工资 当包 转款 接送 费 上班 再也 经查 警方 目标 锁定 嫌疑人 陈某 发现 本市 被害人 微信 账号 转账 足够 证据 日前 警方 杨浦区 国顺 东路 一处 住宅 陈某 抓获,-1
住 酷 解决,1
关注,1
加油,1
方舱医院 变 回 体育馆 黄鹤楼 开放 夜间 体验 国内 旅游 人数 预计 达 亿人次 寒冬 金秋 武汉 全国 团结一心 守望相助 美好 图景 亿 中国 共同努力,1
参与 对照组 实验 患者 挺 残忍 验证 药物 疗效 硬 正常 治疗 死亡 病例 不能 饶恕 病 不治之症 验 药效 硬 制造 极端 病例 极 不道德,-1
抱抱 抱抱 抱抱,1
希望 说到做到,1
握手 握手,1
本来 块 空 草地,-1
红会 牛 逼,1
致敬 战役 前线 天使 中国 心 王凯 天使 护航,1
暖心 礼遇 武汉 中小学生 回到 久违 校园 武汉 鄱阳 街 小学 升旗仪式 校方 邀请 一位 武汉市 中心医院 重症 监护 病区 工作 挽救 数十名 危重症 病人 学生家长 一位 参与 武汉 方舱医院 建设 工作 学生家长 表达 孩子 期许,1
山西 小区 贴 诅咒 式 告示 引 争议 物业 目的 告诉 近日 山西太原 小区 物业 贴 两张 公告 写 没有 雷 神山 火神 山 火葬场 想 阎王 府 报道 物业 贴 公告 目的 想 告诉 不要 出门 业主 言语 合适 领导 申请 揭掉,-1
棒,1
物力 人力 准备 点 重症 危重症 普通 感染 吃药 浪费资源,-1
世界杯 体育场馆 改成 方舱 聚集 几万人 允悲,-1
微风 微风 微风 微风 话筒 话筒 话筒 话筒,1
有事 方舱 当成 臆想 高耸 立场 标志物 完全 无视 发挥 正常 功能 时 方舱 患病者 治疗 抢救 转运 作用 七天 发现 大面积 肺炎 心肺 复苏 耽误 多久 抢救 时间 有事 住 方舱医院 避免 悲剧,-1
恋旧 一件 东西 时间 越久 越 能品,1
真不容易 越来越 太 开心,1
申请 进群,1
右边 中医 广东 中医院 副 院长 中医 团队 驰援 云南 利用 中医 过河拆桥 胡编 里 西医 唱赞歌 武汉 人怒 江夏 方舱 纯中药 治疗 一例 重症 效果 方舱 倍 博,-1
日晚 武汉市 第四 医院 护士 王雯 上海 新 国际博览 中心 方舱医院 带领 患者 做起 中医 健骨操 王雯 中医科 工作 工作 医院 一家 骨科 医院 日常 教 患者 做 这套 操 起到 锻炼 肌肉 增强 身体 协调性 作用 别看 动作 效果 高星,1
中国 医生 周笔畅,1
致敬 最美 白衣天使,1
额 方舱 改 医院 建 医护,-1
祝愿 塞尔维亚 幸福 安康,1
关注 英美 嗨 憧憬 卡相 流传 偷运 血浆 那事 影响 二哈 二哈 二哈,1
去年 医患 师生 去年 大四 学生 徐丹 感染 新冠 住进 武汉 方舱医院 期间 湖南 中医药大学 毛 以林 教授 医护人员 悉心照料 徐丹 下定决心 报考 湖南 中医药大学 一年 认真 备考 终于 圆梦 湖南 中医 如愿 毛以林 学生 央视,1
靳东 方舱 期待,1
一将 无能 累死 三军,-1
恭喜 博文 推荐 流 曝光 持续 娱乐 明星 领域 方向 创作 获取 流量 详情,1
加油 哇,1
中原 中药 揣手,1
隔壁 合作 路 大酒店 饭 香 尝尝 舔 屏,1
节日快乐,1
加油,1
丈夫 上工 小工 家属 工 合同 签 还好 合同 签 默认 包 丈夫 工钱 里 体力活 没少 干 下工 孩子 煮 一大家子 饭包 家务活 兰新线 铁路 死亡 非正式 女工 火神山雷神山 女 工人 男人 口中 依旧 女人 搬 砖 女人 工地,-1
上海 援鄂 医疗队 分批 撤回 图说 战疫 天使 武汉 夜 下午 武汉 东西 湖 方舱医院 恢复 武汉 客厅 展览馆 身份 上海 广东 新疆 山西 吉林 省区市 医疗队 队员 广场 重逢 一部分 战友 话别 这片 挥洒 汗水 医院 挥别 上观 报道,0
新冠 无症状 患者 感染 新冠 病毒 没有 发热 咳嗽 咽痛 新冠 肺炎 相关 症状 核酸 检测 呈 阳性 免疫力 较强 接种 新冠 疫苗 病毒 毒性 低等 原因 何洁 副 主任医师 三甲 中日友好医院 呼吸 内科,-1
晚上 喜欢,1
社会 面 清零,-1
真 有意思 躺 板正 一点 面对 医疗 挤兑 新增,-1
转运 无症状 患者 喝点 水 就行了,-1
加油,1
福州 联通 快速 完成 仓山 第二座 方舱医院 通信 保障,1
注意安全 保护 加油 勇士,1
福建 联通 快速 响应 保障 方舱医院 通信 畅通,1
除夕 中秋 国庆 遇 中秋 方舱医院 武汉 体育中心 首次 恢复 对外开放 运动场 约 满 当日 万名 游客 黄鹤楼 登高望远 网友 云 守护 元气 恢复 武汉 活力 满满 祝福 武汉 祝福 祖国,1
重症 病房 一撇 太难受,-1
说 永恒 指环 证明 爱人 时间 珍惜 陪 一路 风雨 没关系,1
抱抱,1
月份 数据 准确 洗 干净 屁股 坐等 中央 巡视组,-1
玩死 为算 这座 城市 烂 到家 弱 弱 弱,-1
一年 家 相关 企业 平均 营收 一个多亿 背后 家 企业倒闭 资不抵债 引发 发达 省市 骤降 更有甚者 连带 全国 硬着陆 失业人数 上升,-1
支持 茶 活力,1
超棒,1
方舱医院 救人,-1
联通 机器人 上岗 助力 上海 最大 方舱医院 物资 调配,1
方舱医院 休舱 时 脱 厚重 防护服 医护人员 相互 拥抱 歌唱 路边 一名 武汉 志愿者 穿着 皮卡丘 玩偶 套装 医疗队 送行 希望 鲜艳 亮丽 可爱 玩偶 能为 医疗 队员 留下 欢乐 记忆 问起 志愿者 姓名 时 笑 说道 姓 螺 螺丝钉 疫情 许许多多 志愿者 走出 家门 热爱 城市 做出 小小 贡献 三联 生活 周刊,1
真的 太 可怕,-1
大庆 联通 快速 完成 首家 方舱医院 网建,1
关注 热点 传递 正 能量 太阳,1
心 心 心,1
真的 用心 做 公益 站,1
纳闷 问题 长江 跨过 武汉 调集 几十艘 豪华 邮轮 方舱医院 还好 隔离 不用 花 时间 麻烦 帮 顶上去,-1
棒,1
微风 微风,1
山西 联通 科技 防疫 联通 实力 护航 生命 之舟 呼和浩特 联通 借力 创新 网络 方案 确保 方舱医院 通信 畅通,1
真,1
晚上 喜欢,1
化疗 医生 约 好了吗 小时 绿码 进 医院 老人 住院 陪护 不能 密接 居家 隔离 医院 戴 口罩 一次性 口罩 不行 手 消毒 洗手 希望 淡化 病毒 症状 后遗症 不愿 尝试 体验 我能 做 出门 出门 做好 防护 进 出门 酒精 喷洒 消杀 不要 抽烟,-1
刑法 第四 百零 九条 传染病 防治 政府 卫生 行政部门 工作人员 严重 不负责任 导致 传染病 传播 流行 情节严重 处 三年 有期徒刑 拘役,-1
俄军 救援 舰 材料 建 方舱医院 抗击 疫情 俄罗斯 军队 正 建设 座 方舱医院 预计 日前 投入使用 俄罗斯 红星 电视台 报道 医院 建设 材料 大有 讲究 打造 隔离病房 一种 医用 预制板 曾用 俄海军 潜艇 救援 舰上 用于 隔离 一位 深海 返回 陆地 感染 患者 建设 现场 加油,1
这帮 老人家 里 没有 老人 费解,-1
五四 精神 传承,1
朱一龙 想 天气 雨季 里 寄给 愿 无风 无雨 年复 朱一龙 肆玖,1
学生 返校 感染,-1
美好 愿景 自求多福,1
感觉 经历 大灾 大难 境界 起码 生死 深刻,1
感动,1
感谢 但愿 这一役 中医 多些 话语,1
自民党 党员 概念 党 真的 送 福岛 抄 抄 后边 火神山雷神山 抄,-1
英雄 家,1
真棒,1
医护人员 致敬,1
卧槽 终于 少 泪,-1
郑州市 学校 居民 密集区 建 方舱医院 数万人 带来 极大 健康 隐患 河南省 郑州市 中原区 人口 极其 密集 二砂 文化 创意 园区 建设 方舱医院 二砂 园区 一墙之隔 多个 居民区 两个 学校 幼儿园 路 对面 中原 万达 广场,0
发现 说 石家庄 试点 全是 财经 博主 搞笑 常识 没有 好好 石家庄 位置 京津冀 一体化 叫法 理由 石,-1
昌吉 方舱 门口 十几个 小时 吃不上 饭,-1
资本家 脸,-1
想 方舱医院 照片,-1
格力 最棒,1
医生 就行了 允悲,-1
常识 告诉 看病 医院 不是 做 核酸 建 方舱 围 铁皮 不能不 说 官话 病 严重 卡塔尔 搞 世界杯 开完 解读 优化 搞 核酸 铁皮 方舱 钱 医院 增加 点 床位 基础 设备 弄 一点 医生 护士 增加 点 工资 不行,-1
好像 真 不是 疫情 比较严重 地区 发言 毒株 好像 最毒 上海 好像 有史以来 最轻,-1
杀 完 该治 万 新冠 万 说 抓 不管 治 中印 边境 建 座 方舱医院 够 治病 钱 照顾 俘虏 医护人员 三哥 真他妈 出难题,-1
望众 知 演员 靳东 不需 标签 谢谢 太 开心,1
打包 一点 星星 耀眼 随手 撒 奔 终点 玖 少年 团肖战,1
辛苦 心,1
无语,-1
火神山雷神山 十来天 盖 测试 站点 做 不到 致敬 图 生气 医护人员 牺牲 中暑 躺 地上 休息 准备 点 行军床 准备 冰块 不行 缺 那点 钱,-1
医生 家属 太 辛苦,1
还好 不是 喜欢 喝咖啡 城市 笑 不语,-1
扛鼎之作,1
加油 加油,1
新乡 好人,1
可爱,1
坚持 胜利 坚持 一年,1
友谊 长存 心,1
不错,1
陈连珍 岁 涂家岭 社区 联系方式 程希 病情 描述 奶奶 发病 前期 低热 乏力 吃 不进 东西 医院 针 只能 口服药 查 感染 面积 越来越 呕吐 咳嗽 喘 气 症状 奶奶 高血压 精神状态 极差 社区 打过 不来车 未能 安排 入院 治疗,-1
半夜里 骗 老人 转运 定点医院 花 半小时 阿兹海默症 外婆 理解 定点医院 方舱 拉 复兴岛 造船厂 改建 方舱 老人 背靠 黄浦江 集装箱 瞬间 奔溃 听话 只带 药 请问 上海 公信力 可言,-1
第一批 援助 塞尔维亚 广东 医疗队 鲜花 坐标 广东 广州 下次 记得 广州 哈 心,1
关门大吉 休舱 武汉 客厅 方舱医院 彻底 关了,-1
美的 姑娘 心 好好 休息 辛苦 心,1
重症 比例 公布出来 老百姓 心里有数 老百姓 知情权 没有 人提 反正 公布出来 无症状 轻症 绝大多数,-1
加油,1
博主,1
体质 有所不同,0
武汉 活过来 中国 活过来 中华民族 自强不息 爱,1
抱抱,1
胖嘟嘟 扭起来 真的 太 可爱 憧憬 憧憬 憧憬 憧憬 憧憬,1
茶 活力,1
老王 辛苦 好好 休息 愛你 愛你,1
加油,1
期待已久,1
真实 动容 小朋友 演,1
要求,-1
嘿罗嘿 呼,1
高兴,1
还建 明白,-1
个赞,1
加盐,1
期待,1
出力 讨好 出人 出钱出力 骂,-1
允悲 允悲 允悲 干嘛 省 点 力气 别建得 太 敷衍 吃瓜 吃瓜,-1
不敢 代入 保证 事 发生 身上,-1
病毒 弱 传染性 很强 聚集 性 核酸 只会 越酸越,0
感动,1
间 完全 不够 改造,-1
家里 亲戚 被拉去 方舱 隔离 眼睛 生病 没人管 挂 电话 请问 情况,-1
真的 管理 问题 乱 可惜 老人家 先 走 一步,-1
造谣 过不来 日子 疯了 乱说,-1
感恩 心,1
置顶,-1
位置 发给 心 跑,-1
期待 艺兴 艺兴 致敬 医护人员 疫情 慢慢 好转 一切,1
隔离,-1
武汉 明确 方舱 作用 感染者 健康人 隔绝 开来 避免 广泛 传播 扛得住 方舱 扛不住 医院 节奏 印象 中是 科普 急救 知识 没想到 屁股 歪,-1
李健 老师 城市之光 英雄 城市 献礼,1
我巢 隔离 几天,-1
加油 武汉 加油 西安,1
封控 进不出 进 小区,-1
加油 鲜花,1
反反复复 居家 隔离 真实 数据 请问,-1
又快又好,1
医疗 教育 民生 商人 万国 公民 指望 一群 商人 经营 国本 鼓吹 市场化 哪来 蠢 揣着 明白 装糊涂 坏,-1
推广 全世界 火神山雷神山 十来天 盖 测试 站点 做 不到 致敬 图 生气 医护人员 牺牲 中暑 躺 地上 休息 准备 点 行军床 准备 冰块 不行 缺 那点 钱,-1
漂亮 暗无天日,1
支持,1
加油 哇,1
注意安全 加油 心 心,1
谢谢,1
说话 为啥 口罩 取 允悲,-1
辛苦,1
可爱 沁 崽 抱 一抱 方舱 段 超级 暖 小宸 逐星记,1
丢掉 幻想 准备 斗争,-1
太长 裂开 看不下去,-1
上海市 仁济 医院 负责管理 周浦 方舱 管理混乱 监护 不力 导致 无症状 进 方舱 天后 进 最终 死亡 请 相关 部门 严查 老百姓 交代 拳头 拳头 拳头,-1
中心医院 建 方舱,-1
太多人 反思 从来不 懂得 明辨是非 没有 深陷 没有 脑子 刺激 感受 共情 利用 感情 轻易 带动 这场 游戏 不用 付 代价 只求 痛快 媒体 出名 烂,-1
长新冠 帐 算 漏 长新冠 患者 工作 有人 照顾 估计 损失 几千万 劳动力 世界 多家 报道 长新冠 问题 这帮 人太多 工作 手握 选票 国外 政治家 不得不 重视 知乎 关注 犯 低级 错误,-1
二哈,1
秋冬 关键 谨防 反弹 爱,1
可爱 可敬 护士 节日快乐,1
期望值 管理 拉开 花架子 疫苗 甩锅特 没谱 败登 抗疫 美国 人国 两败 命中注定,-1
无论如何 好好 活下去,1
青岛 做,1
侧柏叶,0
加油,1
加油,1
成年人 机会 体验 集体生活 一点点 回到 大学 宿舍 感觉 免费 治疗 吃 住 病 不重 无聊 画面 和谐 温馨,1
英雄 联盟 里 钟南山 麻烦 管管 打游戏 难免会 骂人 损坏 钟南山 爷爷 名声,-1
加油 武汉 加油 中国,1
推广 抗原 筛 自测 大规模 爆发 情况 有用,1
致敬 抗议 工作者 心 心 心 期待 杨洋 心 心,1
天理何在 人性 何在 公道 何在 王法 何在 老百姓 申 维权 拳头 拳头 拳头,-1
爱 希望 中国 我爱你,1
法治 观察 在线 反腐 维权 曝光 台 正义 坚定 捍卫者 乱象 丛生 文明 科学 宣导 文明 依法 防疫,-1
风雨同舟 不离 不弃,1
先兆 流产 医院 小时 核酸 进 真的 欲哭无泪 泪,-1
医生 宝贝 很棒 心,1
爱心 伦哥,1
保护,1
泪目 头 医务人员 收到 尊敬 可怜,-1
被惯 内地 该帮 二哈 二哈 二哈,1
致敬 建设者 辛苦,1
英雄 负重 前行 换来 岁月 静好 满腔热血 国泰民安 黄明昊 一同 感谢 英雄 辛勤 付出 致敬,1
抱抱 辛苦 早日康复,1
辛苦 好好 保重 点 万个,1
医院 风吹 走 脑袋,-1
勇者 孤,1
翟 医生 孕妇 疫苗 三针 科兴,-1
岁 患者 出院 岁 女儿 出院 湖北 武汉 岁 胡 婆婆 岁 女儿 雷神山医院 康复 出院 胡 婆婆 全国 高龄 新冠 肺炎 危重症 康复 患者 医生 称 胡 婆婆 入院 时 皮肤 烫伤 低钾血症 低蛋白 血症 并发症 出院 带给 很大 信心,1
不是 辟谣 算是 医学观察 点,-1
努 努力 坚持 坚持,1
谢谢 武汉 说 句 公道话 想 武汉 牺牲 普通人 英雄 谢谢 求 关注,1
朋友 在家 未 开工 工资 走途 无路 寻 好心人 慷慨解囊 微博留 信息 复工 返还 中国工商银行 户名 芬 账号 可微信 转账 银行卡 大恩大德 谢过,-1
好看,1
期待 杨洋 喜欢,1
这篇 博文 太 形象 女孩子 真棒,1
除夕 中秋 国庆 遇 中秋 方舱医院 武汉 体育中心 首次 恢复 对外开放 运动场 约 满 当日 万名 游客 黄鹤楼 登高望远 网友 云 守护 元气 恢复 武汉 活力 满满 祝福 武汉 祝福 祖国,1
最优 选择 心疼 老人家 失望,-1
永远 小益 生日快乐,1
山河 无恙 幸好 医路 一路 医路,1
加油,1
方舱医院 称作 一千 人用 厕所 隔离 明摆着 夹带 私货 传播 谣言 哭丧,-1
方舱 无症 低症 收集 隔离 治疗 最好 放弃 避免 重症,1
看清 形势 放弃 幻想,-1
团结 力量,1
小赵 经理 甜 心,1
女性 力量 优秀,1
英雄 故事 传遍 赣 鄱 大地,1
发布会 终于 正式 通报 顺义 新 国展 建造 方舱医院 投入使用 上周 投入使用 一周 地方 建 规模 方舱,1
真棒,1
疫情 尚未 结束 防控 人人有责 祈愿 武汉 平安 中国 平安 加油 小心 心,1
满满的 正 能量 读书 想 方舱医院 照片,1
这事 值得 炫耀 丢人,-1
拖下去 死 多一点 国台办 说放 解放军 弯弯 看病 隔离 建 火神山雷神山 搞不好 真 统一,-1
次 申诉 市民 服务 热线 给出 答复 满意 满意 满意 听 医院 一面之词 做出 判断 结论 次 提交 申诉 工作日 已过 给出 公正 公平合理 处理结果 上海 市民 服务 热线,-1
没有 疫苗 减少 感染 几率 重症 少 疫苗 关系不大 中医药 关系 当年 武汉 方舱医院 中医 接管 转为 重症 打过 疫苗,-1
上海 疫情 阴影 一群 发国难财 吃 满嘴 流油 赚得 盆满 钵 满 良心 可安 值得 庆幸 上海 疫情 暴发 举国上下 前往 支援 物资 物资 力气 力气 优秀 医护人员 派 上海 援建 方舱医院 工人 是从 外地 支援 正 能量,1
学习 一年 一群 身影 激励 人心 方舱医院 里 坚持 复习 女孩 疫情 停课 高喊 加油 高三 学生 风雪 排队 上课 同学们 世界 改变 始终 坚持 梦想 奋勇向前 愿 努力 未来 期 加油 人民日报,1
不是 想 放开 挣钱 不想 放开,-1
加油,1
被迫 军队 拿枪 指着,-1
建成 拆除 有钱人,-1
江西 联通 南昌 方舱医院 网络 畅通 保驾护航,1
封闭性 体育中心 闲着 闲着 早点 救治 百姓 一拖再拖,-1
好转 可爱 可爱 可爱 好巧 新增 周期性 重复,1
感谢 医护人员 正 能量 杰伦,1
疫苗 不肯 物理 隔离 措施 不肯 做 不停 养 出新 毒,-1
现实 哈哈 科技 狠活,1
加油,1
得人 看雷 神山,-1
加油 国庆 中秋 假期 历经 不凡 中国 迎来 充满 烟火 气 生活 图景 群众 天安门广场 升旗 武汉 方舱医院 变 回 体育馆 国庆 当天 万 游客 登上 黄鹤楼 人间烟火 气 抚慰 人心 秒 混 剪 国庆 温情 瞬间 元气 满满 人民日报,1
欧美 佛系 抗疫 没完没了 允悲,-1
反对 医疗 私营化 香港 医疗界 疫苗 方舱医院 医疗 援助 阻碍 反 人类 医疗 心 歪 可不是 棺材 店老板 愿望 真 干得 说 口罩 无用 群里 查 指南 说 只用 洗手 就行了,-1
浪费 社会 资源 还管 动物,-1
武汉 正处 抗疫 艰难 时期 住 方舱医院 杨晶用 手机 记录 医患 并肩作战 模样 重回 方舱 杨晶 感慨万分 多人 打球 坚强 武汉 挺 经历 那段 艰难 岁月 知 平常 得来不易,1
中国 火神 山 雷神山医院 建设 手绘 长卷 中国 速度 小时 不间断 施工 万余 建设者 日夜 鏖战 人次 红 区内 作业 筑者 医者 同披 战甲 共击疫 魔 以此 片 献给 火神 山 雷神山医院 建设 奋斗 平凡 英雄,1
钟南山 凉茶 莫言 烧鸡 国家知识产权局 首批 件 实质 审查 阶段 火神 山 雷 神山 钟南山 恶意 商标注册 申请 依法 作出 驳回 名人 名字 注册商标 现象 不是 第一次 外国 乔丹 哈利波 特 中国 莫言 屠 呦 呦 抢注 成 商标 戳 公众 人物 名字 不能 注册 成 商标 央视网,-1
骄傲 分享 复兴号 高铁 商运 速度 全球 最快 北斗 三号 刷新 全球卫星 导航系统 组网 速度 世界纪录 抗击 疫情 天 时间 建成 火神 山 雷 神山 万余名 医务人员 火速 集结 驰援 湖北 中国 速度 背后 离不开 千千万万 奋斗者 美好 明天 加油,1
管媒 可信,0
没有 喜欢 一种 类型 喜欢 喜欢 朱一龙 生活 特别 甜 朱一龙 未来 十一,1
封控 爱好者 选择 封闭 在家 理想 与世隔绝 日子 封 上下水 口 门窗 不怕 外面 嗨 嘻嘻,1
多州 告急 盐湖城 仅剩 张 病床 美国 新冠 病毒感染 人数 不断 增加 多个 州 医院 不堪重负 满员 病床 数量 严重不足 医生 护士 崩溃 犹他州 仅剩 张 病床 盐湖城 此前 准备 方舱医院 面临 重启 小城镇 最坏 情况 到来,-1
总统 老年痴呆,-1
致敬 普通 英雄,1
哈哈哈 考点 二哈,1
中国,1
太难受 发现 帮不了 力量 心疼 心疼 小朋友 泪 泪 泪 泪,-1
加油 国庆 中秋 假期 历经 不凡 中国 迎来 充满 烟火 气 生活 图景 群众 天安门广场 升旗 武汉 方舱医院 变 回 体育馆 国庆 当天 万 游客 登上 黄鹤楼 人间烟火 气 抚慰 人心 秒 混 剪 国庆 温情 瞬间 元气 满满 人民日报,1
期待 靳东 方舱,1
致敬 中国 中国,1
关不住 建 方舱医院 何用 掘 土地 埋 尸体 挖 鼻 挖 鼻,-1
基础 病 方舱医院 呆 危险 能少 前提 方舱 设备 医护 方舱 多建 老人 实在 不行,-1
唉 单身 狗 单身 狗 单身 狗,-1
方舱医院 真 神奇,0
上海 医护人员 时间 矫情 欢迎 填词 偷笑,0
爱 守候 春日 新 碧 幸福 微笑 朱一龙 前行 朱一龙 肆 贰,1
下台,-1
努力 奇迹 团结一心 力量,1
感觉 疑事 病例 压力 越大,-1
支援 支援 做 核酸,-1
不要 理 下楼 小区 点位 做,-1
冷 知识 香港 公立医院,1
想起 天线宝宝,0
中国 火神 山 雷神山医院 建设 手绘 长卷 中国 速度 小时 不间断 施工 万余 建设者 日夜 鏖战 人次 红 区内 作业 筑者 医者 同披 战甲 共击疫 魔 以此 片 献给 火神 山 雷神山医院 建设 奋斗 平凡 英雄,1
说 好像 说 不简单,-1
希望 小宝宝 定点医院 能够 照顾 宝宝 方舱 成人 方舱 真的 婴儿 太 友好,-1
中西医 疗效,1
关注,1
王辰 院士 真的 棒 钟南山 院士 揭盖子 疫情 防控 第一次 转折 王辰 院士 做 方舱医院 这是 第二次 转折 决策 真的 救 太 人命,1
想 方舱医院 照片,-1
三天 高烧 咳血 明天 医院 检查 肺炎,-1
听党 指挥 打胜仗 加油 加油 加油,1
平凡 创造 奇迹 英雄 出自 民间 青年 演员 黄明昊 火神山雷神山 医院 建设者 致以 崇高 敬意,1
祝 愉快 明天 愉快 留着 明天 再祝 玖 少年 团肖战,1
除夕 中秋 国庆 遇 中秋 方舱医院 武汉 体育中心 首次 恢复 对外开放 运动场 约 满 当日 万名 游客 黄鹤楼 登高望远 网友 云 守护 元气 恢复 武汉 活力 满满 祝福 武汉 祝福 祖国,1
推广 全世界 火神山雷神山 十来天 盖 测试 站点 做 不到 致敬 图 生气 医护人员 牺牲 中暑 躺 地上 休息 准备 点 行军床 准备 冰块 不行 缺 那点 钱,-1
加油 康复,1
何种 媒介 清朗 向上 千里 传香,1
真的 回不去 泪,-1
加油,1
感动 心 心,1
带货 的真 拼,1
英国 不是 说 方舱医院 侵犯 人权,-1
至上 生命 至上,1
不可理喻 上海 正常人 管理 允悲,-1
真的 特别 敬佩,1
救救 末日 时 前有 陷阱 敬请 见证 建 方舱医院 床位 真 不够 跑 来得及 坑位 准备,-1
这方 仓 医院 条件 太差 人到 羊性,-1
新 一年 开开心心,1
欢迎,1
造谣 找,-1
陈迪,1
小虎 加油 快快 加油 加油 加油,1
最让人 生气 心寒 失望 表彰 环节 抗疫 代表 没有 女性 含泪 剃光头 怀孕 战场 经期 用不上 卫生巾 女性 医护人员 男 建设 火神山雷神山 方舱医院 女性 建筑工人 地方 不想 记住 妄图 吃掉 功劳,-1
完整,-1
感染者 居家 时 注意事项 北京 佑 安 医院 感染 综合 科 主任医师 小汤山 方舱医院 医疗 专家 李侗 冰箱 低温 封闭 病毒 停留 时间 长 建议 感染者 不去 接触 冰箱 家人 准备 食物 做饭 痊愈 最好 冰箱 断电 冰箱 恢复 室温 状态 天,-1
淮安 小姐姐 优秀,1
人真别 慷他人之慨 武汉 情况 确实 很糟 键盘 侠 总站 道德 制高点 批判 真 不好,-1
爱,1
加油,1
希望 平安 归来 医院 早点 倒闭,-1
心 心 心,1
哭,1
明白 放开 撤 方舱 留个 余地,-1
朱一龙 三月 拾花 酿春 六月 流萤 染夏 十月 稻 陌拾 秋 腊月 丛中 吻 雪 一年四季 四季 最好 赠 朱一龙,1
武汉 加油,1
平时 骂 无赖 只能 说 可怜 跪地 随随便便 真心 做 容易,-1
高考 发挥 不错 想 回报 社会 湖北 高考 成绩 此前 备受 关注 武汉 方舱医院 备考 女孩 黄玉 婷 发挥 不错 女孩 艺术 生 方舱医院 治疗 经历 填报 师范 专业 说 方舱医院 最想 感谢 一位 警察 哥哥,1
口罩 买不到 跪,-1
吉林 支援 黑龙江 为啥 报道 好像 吉林 差 事儿,-1
加油 国庆 中秋 假期 历经 不凡 中国 迎来 充满 烟火 气 生活 图景 群众 天安门广场 升旗 武汉 方舱医院 变 回 体育馆 国庆 当天 万 游客 登上 黄鹤楼 人间烟火 气 抚慰 人心 秒 混 剪 国庆 温情 瞬间 元气 满满,1
致敬 英雄,1
王凯 天使 护航 致敬 中国 力量 致敬 雷 神山 逆 行者 米奇 比心 米奇 比心 米奇 比心,1
真的 不信,-1
上海市委 政府 领导 吃干饭,-1
杰瑞,1
心 心 心,1
保留 万一 疫情 怎么办,-1
厉害 全球 防疫 首,1
最美 逆 行者 一位 逆 行者 致敬 最美 逆 行者 幸福 社区,1
期待 邓伦,1
关注 话筒 话筒,1
三亚 第五 方舱医院 项目 位于 荔枝 沟路 腊尾路 交叉口 处 华庭香 郡 商场 开工 建设 改造 建筑面积 约 万平方米 商场 层 改建 成 方舱医院 建设 附属 用房 清洁 区 用房 配套 设施 建成 提供 隔离 病床 张 项目 天 筹备 时间 天 施工 工期 加快 建设 力争 完工 交付 投用 加快 充实 三亚 隔离 点 储备,1
惨 两句 政策 副 总理 提出 想想 武汉 领导 惨 紧急 需求 做 一个月 讲讲 要求 方向 撤 撤,-1
说句实话 我爸 确诊 在家 隔离 妈 社区 安排 酒店 观察 满 压根 住 确诊 人数 增加 床位 真的 不够 家属 真的 心急 电话 网上 信息 填 一点 没有,-1
黑心 标准 物资 很难 找 售卖 地点 远 跑 耗费 时间 精力 说 打击 哄抬物价 区分 不能 伤害 热心人,-1
感觉 儿童医院 上班 照顾 宝贝 很快,1
重庆 我家 我爸 妈会 钱花 遭关 多天 钱,-1
天天 喇叭 喊 做 核酸 可不是,-1
砖家,-1
感谢,1
甜甜的 爱 爱 爱,1
泡泡,-1
祝 朋友 周二 快乐 鲜花 鲜花 鲜花 心想事成 中国 中国 中国,1
恭喜 武汉,1
完全 听 建议 国家 值得 珍惜,1
那能 不能 关注 兰州 西宁 很难,-1
确实 准确 病床 数 打折 二级 医院 医院 病床 使用率 至少 大城市 三甲 超过 加床 数字 再算 涵养 十四 亿人 感染率 平摊 九百万 张 病床 人才 一张 病床 数据 请问 人中 几个 住院治疗 情况 住院治疗 数据 揣着 目标 装糊,-1
大胆 老爷 豪宅 上面 喵 喵,1
毒贩 出工 没有 允悲,-1
医院 药都 没有 药店 想象 中年男人 趴在 窗口 医生 说 不行 点药 两个 不行 床位 挺 没有 早上 有个 物业 群里 一家 小女儿 新冠 并发 急症 死 能住 方舱,-1
真 可爱 李沁 爱,1
辛苦,1
